Year,TEAM,OFFRTG,DEFRTG,
2017-18,Atlanta Hawks,104.4,110.1,
2017-18,Boston Celtics,106.8,103.2,
2017-18,Brooklyn Nets,106.1,109.7,
2017-18,Charlotte Hornets,109,109,
2017-18,Chicago Bulls,103.4,110.5,
2017-18,Cleveland Cavaliers,112,111.1,
2017-18,Dallas Mavericks,105.4,108.4,
2017-18,Denver Nuggets,111.4,110,
2017-18,Detroit Pistons,106.6,106.7,
2017-18,Golden State Warriors,112.8,106.8,
2017-18,Houston Rockets,114.1,105.7,
2017-18,Indiana Pacers,108.5,107.3,
2017-18,LA Clippers,109.4,109.2,
2017-18,Los Angeles Lakers,106,107.3,
2017-18,Memphis Grizzlies,103.6,110.4,
2017-18,Miami Heat,106.2,105.8,
2017-18,Milwaukee Bucks,109,109.1,
2017-18,Minnesota Timberwolves,112.5,110.2,
2017-18,New Orleans Pelicans,108.5,107.4,
2017-18,New York Knicks,106.3,109.7,
2017-18,Oklahoma City Thunder,110.1,106.4,
2017-18,Orlando Magic,104.7,109.4,
2017-18,Philadelphia 76ers,108.5,103.9,
2017-18,Phoenix Suns,102.8,111.7,
2017-18,Portland Trail Blazers,108.4,105.7,
2017-18,Sacramento Kings,103.1,110.4,
2017-18,San Antonio Spurs,107.1,104.1,
2017-18,Toronto Raptors,113,105.3,
2017-18,Utah Jazz,107.4,103,
2017-18,Washington Wizards,108.1,107.7,
2016-17,Atlanta Hawks,104.5,105.2,
2016-17,Boston Celtics,110.6,108,
2016-17,Brooklyn Nets,103.6,110.1,
2016-17,Charlotte Hornets,108.4,108.4,
2016-17,Chicago Bulls,106.5,106.2,
2016-17,Cleveland Cavaliers,112.8,109.7,
2016-17,Dallas Mavericks,104.7,107.7,
2016-17,Denver Nuggets,112.2,111.7,
2016-17,Detroit Pistons,105.3,106.7,
2016-17,Golden State Warriors,114.8,103.4,
2016-17,Houston Rockets,114.1,108.4,
2016-17,Indiana Pacers,107.9,108.1,
2016-17,LA Clippers,111.8,107.5,
2016-17,Los Angeles Lakers,105.3,112,
2016-17,Memphis Grizzlies,107,106.5,
2016-17,Miami Heat,107.4,106.4,
2016-17,Milwaukee Bucks,108.5,108.7,
2016-17,Minnesota Timberwolves,110,110.9,
2016-17,New Orleans Pelicans,104.7,106.8,
2016-17,New York Knicks,107.1,110.7,
2016-17,Oklahoma City Thunder,107.9,107.1,
2016-17,Orlando Magic,103.7,110.3,
2016-17,Philadelphia 76ers,102.7,108.2,
2016-17,Phoenix Suns,106.1,111.3,
2016-17,Portland Trail Blazers,109.4,110,
2016-17,Sacramento Kings,106.6,110.8,
2016-17,San Antonio Spurs,110.3,102.9,
2016-17,Toronto Raptors,111.4,107.1,
2016-17,Utah Jazz,109,104.7,
2016-17,Washington Wizards,110.4,108.8,
2015-16,Atlanta Hawks,104.6,100.8,
2015-16,Boston Celtics,105.8,102.5,
2015-16,Brooklyn Nets,102.4,109.7,
2015-16,Charlotte Hornets,106.4,103.7,
2015-16,Chicago Bulls,104.1,105.5,
2015-16,Cleveland Cavaliers,110.2,103.9,
2015-16,Dallas Mavericks,105.5,105.9,
2015-16,Denver Nuggets,104.9,108.2,
2015-16,Detroit Pistons,105.3,104.9,
2015-16,Golden State Warriors,113.5,102.8,
2015-16,Houston Rockets,107.3,107.3,
2015-16,Indiana Pacers,103.8,102.2,
2015-16,LA Clippers,107.2,102.7,
2015-16,Los Angeles Lakers,100.7,110.3,
2015-16,Memphis Grizzlies,104.7,107.1,
2015-16,Miami Heat,105.5,103.7,
2015-16,Milwaukee Bucks,103.4,107.8,
2015-16,Minnesota Timberwolves,105.4,109,
2015-16,New Orleans Pelicans,104.8,108.4,
2015-16,New York Knicks,103.9,106.7,
2015-16,Oklahoma City Thunder,112.1,104.8,
2015-16,Orlando Magic,104.4,106,
2015-16,Philadelphia 76ers,98.4,108.6,
2015-16,Phoenix Suns,101.5,107.9,
2015-16,Portland Trail Blazers,107.6,106.8,
2015-16,Sacramento Kings,105.3,107.6,
2015-16,San Antonio Spurs,109.3,98.2,
2015-16,Toronto Raptors,109.3,104.8,
2015-16,Utah Jazz,105,103.2,
2015-16,Washington Wizards,104.5,105.1,
2014-15,Atlanta Hawks,108.2,102.3,
2014-15,Boston Celtics,103.8,103.5,
2014-15,Brooklyn Nets,103.4,106.3,
2014-15,Charlotte Hornets,99.6,103,
2014-15,Chicago Bulls,106.3,103.3,
2014-15,Cleveland Cavaliers,110.1,105.3,
2014-15,Dallas Mavericks,108.2,104.9,
2014-15,Denver Nuggets,103.9,107.1,
2014-15,Detroit Pistons,104.3,105.4,
2014-15,Golden State Warriors,110.4,100.4,
2014-15,Houston Rockets,106,102.6,
2014-15,Indiana Pacers,102.9,102.7,
2014-15,Los Angeles Clippers,111.6,104.7,
2014-15,Los Angeles Lakers,102.3,109.4,
2014-15,Memphis Grizzlies,104.8,101.2,
2014-15,Miami Heat,103.2,106.1,
2014-15,Milwaukee Bucks,102,101.4,
2014-15,Minnesota Timberwolves,101.8,110.9,
2014-15,New Orleans Pelicans,107.1,106.3,
2014-15,New York Knicks,98.9,109,
2014-15,Oklahoma City Thunder,106.7,104.6,
2014-15,Orlando Magic,101,106.8,
2014-15,Philadelphia 76ers,94.9,103.9,
2014-15,Phoenix Suns,104.2,105.3,
2014-15,Portland Trail Blazers,107.1,102.8,
2014-15,Sacramento Kings,104.5,108.2,
2014-15,San Antonio Spurs,107.6,101.4,
2014-15,Toronto Raptors,110.2,107.1,
2014-15,Utah Jazz,104.2,104.1,
2014-15,Washington Wizards,103,102.4,
2013-14,Atlanta Hawks,104.9,105.7,
2013-14,Boston Celtics,101.9,106.5,
2013-14,Brooklyn Nets,105.4,106.7,
2013-14,Charlotte Bobcats,103,103.3,
2013-14,Chicago Bulls,101.7,99.9,
2013-14,Cleveland Cavaliers,103.5,107,
2013-14,Dallas Mavericks,109.5,107.2,
2013-14,Denver Nuggets,105.1,107.3,
2013-14,Detroit Pistons,105.2,109,
2013-14,Golden State Warriors,106.3,101.4,
2013-14,Houston Rockets,109.8,105.2,
2013-14,Indiana Pacers,103.6,98.9,
2013-14,Los Angeles Clippers,111.3,104,
2013-14,Los Angeles Lakers,103.2,109.3,
2013-14,Memphis Grizzlies,105.5,103.8,
2013-14,Miami Heat,110,105,
2013-14,Milwaukee Bucks,101.9,110.2,
2013-14,Minnesota Timberwolves,107.7,105.2,
2013-14,New Orleans Pelicans,106.2,109.1,
2013-14,New York Knicks,107,108.1,
2013-14,Oklahoma City Thunder,109.4,103,
2013-14,Orlando Magic,101,106.6,
2013-14,Philadelphia 76ers,99,109,
2013-14,Phoenix Suns,108.2,105.6,
2013-14,Portland Trail Blazers,110.4,106.2,
2013-14,Sacramento Kings,105.1,107.8,
2013-14,San Antonio Spurs,109.5,101.4,
2013-14,Toronto Raptors,107.9,104.6,
2013-14,Utah Jazz,102.4,110.1,
2013-14,Washington Wizards,104.9,103.6,
2012-13,Atlanta Hawks,103.7,103.4,
2012-13,Boston Celtics,102.2,102.6,
2012-13,Brooklyn Nets,106.9,104.8,
2012-13,Charlotte Bobcats,100.4,110.3,
2012-13,Chicago Bulls,102.4,101.9,
2012-13,Cleveland Cavaliers,103.2,108.2,
2012-13,Dallas Mavericks,104.7,105.4,
2012-13,Denver Nuggets,109.3,104.2,
2012-13,Detroit Pistons,102.7,107.2,
2012-13,Golden State Warriors,105.1,104.2,
2012-13,Houston Rockets,108.8,105.3,
2012-13,Indiana Pacers,103.4,99,
2012-13,Los Angeles Clippers,109.8,102.8,
2012-13,Los Angeles Lakers,107,105.9,
2012-13,Memphis Grizzlies,103.6,99.1,
2012-13,Miami Heat,111.4,103.2,
2012-13,Milwaukee Bucks,102.5,104.2,
2012-13,Minnesota Timberwolves,101.8,104,
2012-13,New Orleans Hornets,104.5,108.9,
2012-13,New York Knicks,109.8,105.4,
2012-13,Oklahoma City Thunder,111,101.2,
2012-13,Orlando Magic,100.9,108.4,
2012-13,Philadelphia 76ers,101,104.7,
2012-13,Phoenix Suns,100.2,106.9,
2012-13,Portland Trail Blazers,104.5,107.9,
2012-13,Sacramento Kings,105.3,110,
2012-13,San Antonio Spurs,107,100.3,
2012-13,Toronto Raptors,105,106.4,
2012-13,Utah Jazz,105.4,105.6,
2012-13,Washington Wizards,99.3,101.6,
2011-12,Atlanta Hawks,104.2,100.4,
2011-12,Boston Celtics,100.1,97.5,
2011-12,Charlotte Bobcats,94.4,109.4,
2011-12,Chicago Bulls,106.3,97.5,
2011-12,Cleveland Cavaliers,100,107.6,
2011-12,Dallas Mavericks,102.1,100.9,
2011-12,Denver Nuggets,108.3,105.1,
2011-12,Detroit Pistons,100,105,
2011-12,Golden State Warriors,103.9,107.3,
2011-12,Houston Rockets,104.2,104,
2011-12,Indiana Pacers,105.5,102.1,
2011-12,Los Angeles Clippers,107.5,104.8,
2011-12,Los Angeles Lakers,104.5,103.2,
2011-12,Memphis Grizzlies,102.8,100.6,
2011-12,Miami Heat,105.6,99.2,
2011-12,Milwaukee Bucks,104.5,104.1,
2011-12,Minnesota Timberwolves,103.1,105.3,
2011-12,New Jersey Nets,101.8,108.1,
2011-12,New Orleans Hornets,99.9,103.9,
2011-12,New York Knicks,103.5,100.2,
2011-12,Oklahoma City Thunder,108.4,102.1,
2011-12,Orlando Magic,104,103.4,
2011-12,Philadelphia 76ers,102.7,98.2,
2011-12,Phoenix Suns,105.2,105.2,
2011-12,Portland Trail Blazers,104.4,105.3,
2011-12,Sacramento Kings,102.9,108.7,
2011-12,San Antonio Spurs,110,102.3,
2011-12,Toronto Raptors,99.6,103.6,
2011-12,Utah Jazz,105.5,104.9,
2011-12,Washington Wizards,100,104.9,
2010-11,Atlanta Hawks,105.1,105.8,
2010-11,Boston Celtics,105.5,99.8,
2010-11,Charlotte Bobcats,102.8,107,
2010-11,Chicago Bulls,107.2,99.5,
2010-11,Cleveland Cavaliers,101.5,110.9,
2010-11,Dallas Mavericks,108.4,104.1,
2010-11,Denver Nuggets,111.7,106.8,
2010-11,Detroit Pistons,107,110.7,
2010-11,Golden State Warriors,107.1,109.4,
2010-11,Houston Rockets,110.2,107.9,
2010-11,Indiana Pacers,104.1,105,
2010-11,Los Angeles Clippers,104.8,108,
2010-11,Los Angeles Lakers,109.6,103.3,
2010-11,Memphis Grizzlies,107,104.5,
2010-11,Miami Heat,110.6,102.9,
2010-11,Milwaukee Bucks,100.8,101.5,
2010-11,Minnesota Timberwolves,103.2,109.9,
2010-11,New Jersey Nets,102.1,108.9,
2010-11,New Orleans Hornets,105.4,104.4,
2010-11,New York Knicks,109.9,109,
2010-11,Oklahoma City Thunder,109.9,105.9,
2010-11,Orlando Magic,107.4,101.8,
2010-11,Philadelphia 76ers,105.3,103.8,
2010-11,Phoenix Suns,108.6,109.4,
2010-11,Portland Trail Blazers,107.3,105.7,
2010-11,Sacramento Kings,102.9,108.4,
2010-11,San Antonio Spurs,110.5,104.4,
2010-11,Toronto Raptors,105.2,111.7,
2010-11,Utah Jazz,107,108.8,
2010-11,Washington Wizards,101.3,109.1,
2009-10,Atlanta Hawks,111,106,
2009-10,Boston Celtics,106.9,103.2,
2009-10,Charlotte Bobcats,103.9,102,
2009-10,Chicago Bulls,102.6,104.2,
2009-10,Cleveland Cavaliers,110.6,103.8,
2009-10,Dallas Mavericks,107.8,105,
2009-10,Denver Nuggets,110.8,106.5,
2009-10,Detroit Pistons,104.5,110.3,
2009-10,Golden State Warriors,107,110.3,
2009-10,Houston Rockets,106.8,106.8,
2009-10,Indiana Pacers,103,106,
2009-10,Los Angeles Clippers,102.3,109.1,
2009-10,Los Angeles Lakers,107.6,102.7,
2009-10,Memphis Grizzlies,107.5,109,
2009-10,Miami Heat,105.7,103.4,
2009-10,Milwaukee Bucks,104,101.9,
2009-10,Minnesota Timberwolves,100.6,110.4,
2009-10,New Jersey Nets,99.3,108.9,
2009-10,New Orleans Hornets,106.5,108.9,
2009-10,New York Knicks,106.4,110.3,
2009-10,Oklahoma City Thunder,107,103.5,
2009-10,Orlando Magic,110.7,102.8,
2009-10,Philadelphia 76ers,104.8,108.9,
2009-10,Phoenix Suns,113.9,109.1,
2009-10,Portland Trail Blazers,109.6,106.1,
2009-10,Sacramento Kings,104.4,109.1,
2009-10,San Antonio Spurs,109.3,103.9,
2009-10,Toronto Raptors,110.2,112.2,
2009-10,Utah Jazz,109.7,104,
2009-10,Washington Wizards,103.1,108.3,
2008-09,Atlanta Hawks,108.3,106.7,
2008-09,Boston Celtics,109.5,101.6,
2008-09,Charlotte Bobcats,103.7,105,
2008-09,Chicago Bulls,107.2,107.5,
2008-09,Cleveland Cavaliers,111.2,101.6,
2008-09,Dallas Mavericks,109,107,
2008-09,Denver Nuggets,109,105.6,
2008-09,Detroit Pistons,105.8,106.4,
2008-09,Golden State Warriors,108,111.7,
2008-09,Houston Rockets,107.1,102.9,
2008-09,Indiana Pacers,107.2,108.2,
2008-09,Los Angeles Clippers,101,110.1,
2008-09,Los Angeles Lakers,111.4,103.5,
2008-09,Memphis Grizzlies,102.3,108.2,
2008-09,Miami Heat,106.8,106.5,
2008-09,Milwaukee Bucks,105.2,106.3,
2008-09,Minnesota Timberwolves,104.9,109.9,
2008-09,New Jersey Nets,106.8,109.5,
2008-09,New Orleans Hornets,107.6,105.8,
2008-09,New York Knicks,107,109.4,
2008-09,Oklahoma City Thunder,101.4,107.6,
2008-09,Orlando Magic,108.3,101.3,
2008-09,Philadelphia 76ers,106.3,106.1,
2008-09,Phoenix Suns,112.4,110.4,
2008-09,Portland Trail Blazers,112.1,106.1,
2008-09,Sacramento Kings,104.4,113.4,
2008-09,San Antonio Spurs,107.6,103.4,
2008-09,Toronto Raptors,105.5,108.6,
2008-09,Utah Jazz,108.5,105.8,
2008-09,Washington Wizards,104,112.1,
2007-08,Atlanta Hawks,105.5,107.3,
2007-08,Boston Celtics,108.8,98.1,
2007-08,Charlotte Bobcats,103.7,108.2,
2007-08,Chicago Bulls,102.9,106,
2007-08,Cleveland Cavaliers,104.8,105.4,
2007-08,Dallas Mavericks,109.5,104.7,
2007-08,Denver Nuggets,108.9,105.5,
2007-08,Detroit Pistons,109.8,101.5,
2007-08,Golden State Warriors,110.4,108.5,
2007-08,Houston Rockets,105.4,100.5,
2007-08,Indiana Pacers,105.1,106.3,
2007-08,Los Angeles Clippers,99.9,107.4,
2007-08,Los Angeles Lakers,111.7,104.3,
2007-08,Memphis Grizzlies,103.9,110.2,
2007-08,Miami Heat,99.4,108.8,
2007-08,Milwaukee Bucks,103.9,111.1,
2007-08,Minnesota Timberwolves,102.7,110,
2007-08,New Jersey Nets,102.3,107.7,
2007-08,New Orleans Hornets,110,104.4,
2007-08,New York Knicks,103.5,110.4,
2007-08,Orlando Magic,110.4,104.9,
2007-08,Philadelphia 76ers,105.1,104.7,
2007-08,Phoenix Suns,112,107,
2007-08,Portland Trail Blazers,105.9,106.8,
2007-08,Sacramento Kings,106.2,108.6,
2007-08,San Antonio Spurs,106,100.7,
2007-08,Seattle SuperSonics,99.6,108.3,
2007-08,Toronto Raptors,108.9,105.6,
2007-08,Utah Jazz,112.1,104.9,
2007-08,Washington Wizards,107.6,107.9,
2006-07,Atlanta Hawks,102,107,
2006-07,Boston Celtics,102.3,105.8,
2006-07,Charlotte Bobcats,102.4,106.3,
2006-07,Chicago Bulls,104,98.8,
2006-07,Cleveland Cavaliers,104.4,100.6,
2006-07,Dallas Mavericks,109.7,102.1,
2006-07,Denver Nuggets,106.7,105.1,
2006-07,Detroit Pistons,107.4,102.6,
2006-07,Golden State Warriors,106.2,106.5,
2006-07,Houston Rockets,104.7,99.7,
2006-07,Indiana Pacers,101.9,104.4,
2006-07,Los Angeles Clippers,103.8,104.2,
2006-07,Los Angeles Lakers,107.3,107.5,
2006-07,Memphis Grizzlies,105.7,110.9,
2006-07,Miami Heat,103.4,104.6,
2006-07,Milwaukee Bucks,106,110.3,
2006-07,Minnesota Timberwolves,102.4,106.5,
2006-07,New Jersey Nets,104.2,105.1,
2006-07,New Orleans/Oklahoma City Hornets,103.7,105.4,
2006-07,New York Knicks,104.3,107.4,
2006-07,Orlando Magic,104.1,103.3,
2006-07,Philadelphia 76ers,102.4,105.6,
2006-07,Phoenix Suns,112.9,105.5,
2006-07,Portland Trail Blazers,103.8,108.6,
2006-07,Sacramento Kings,105.1,106.7,
2006-07,San Antonio Spurs,108.6,99.4,
2006-07,Seattle SuperSonics,105.9,108.9,
2006-07,Toronto Raptors,105.7,104.4,
2006-07,Utah Jazz,108.6,105.6,
2006-07,Washington Wizards,108.7,109.1,
2005-06,Atlanta Hawks,104.8,110.1,
2005-06,Boston Celtics,104,105.6,
2005-06,Charlotte Bobcats,101.2,105.6,
2005-06,Chicago Bulls,103.3,102.7,
2005-06,Cleveland Cavaliers,106.6,104.4,
2005-06,Dallas Mavericks,109.9,103.2,
2005-06,Denver Nuggets,104.4,104.1,
2005-06,Detroit Pistons,109.3,101.7,
2005-06,Golden State Warriors,103.5,104.9,
2005-06,Houston Rockets,100.4,102.1,
2005-06,Indiana Pacers,103.1,101,
2005-06,Los Angeles Clippers,103.8,102.2,
2005-06,Los Angeles Lakers,106.8,104.2,
2005-06,Memphis Grizzlies,104.5,100.4,
2005-06,Miami Heat,107.5,103.4,
2005-06,Milwaukee Bucks,104.9,105.9,
2005-06,Minnesota Timberwolves,101.5,103.5,
2005-06,New Jersey Nets,102.4,100.9,
2005-06,New Orleans/Oklahoma City Hornets,102.3,105.1,
2005-06,New York Knicks,102.7,109.3,
2005-06,Orlando Magic,105.3,106.6,
2005-06,Philadelphia 76ers,104.7,106.5,
2005-06,Phoenix Suns,110.2,104.7,
2005-06,Portland Trail Blazers,99.7,110.3,
2005-06,Sacramento Kings,105.3,103.5,
2005-06,San Antonio Spurs,106.2,98.7,
2005-06,Seattle SuperSonics,109.4,112.7,
2005-06,Toronto Raptors,107.9,111.2,
2005-06,Utah Jazz,102.4,105.1,
2005-06,Washington Wizards,107.7,105.8,
